Reporting month;;;;;Sales Month;Platform;Country / Region;Label Name;Artist Name;Release title;Track title;UPC;ISRC;Release Catalog nb;Release type;Sales Type;Quantity;Client Payment Currency;Unit Price;Mechanical Fee;Gross Revenue;Client share rate;Net Revenue
2024-11-01;;;;;2024-11-01;Apple Music;Chile;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes ;3617057738816;TR-BYT-22-00038;;Music release;Stream;6;EUR;0.002168;0.000000;0.013007342969260;0.7;0.009105140078482
2024-11-01;;;;;2024-09-01;TikTok;Turkmenistan;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes ;3616846508005;TR-BYT-22-00038;;Music release;Creation;1;EUR;0.002173;0.000000;0.002173307515697;0.7;0.001521315260988
2024-11-01;;;;;2024-11-01;YouTube UGC;Egypt;Cansever Müzik;Cansever;Cansever ce;Geliyor havalı geliyor ;3616849534162;US-CGJ-20-85348;;Music release;Stream;1934;EUR;0.000162;0.000000;0.313737054512101;0.7;0.219615938158471
2024-11-01;;;;;2024-11-01;YouTube UGC;Saudi arabia;Cansever Müzik;Cansever;Cansever ce;Para para ;3616849534162;US-CGJ-20-85349;;Music release;Stream;11;EUR;0.000455;0.000000;0.005003100813131;0.7;0.003502170569192
2024-11-01;;;;;2024-10-01;Spotify;Italy;Cansever Müzik;Cansever;Cansever ce;Şeytan diyor ki Slow Version;3616849534162;US-CGJ-20-85352;;Music release;Stream;2;EUR;0.000621;0.000000;0.001242000000000;0.7;0.000869400000000
2024-11-01;;;;;2024-11-01;YouTube UGC;Azerbaijan;Cansever Müzik;Cansever;Zenginlik Var Bu Ailede;Zenginlik Var Bu Ailede ;3616849414488;FR-X28-22-71397;;Music release;Stream;75;EUR;0.000146;0.000000;0.010981683427299;0.7;0.007687178399109
2024-11-01;;;;;2024-11-01;YouTube UGC;Bosnia and herzegovi;Cansever Müzik;Cansever, Samara;Duman Ettik;Duman Ettik Yine Bir Numara;3617388268525;FR-X76-24-99236;;Music release;Stream;22;EUR;0.000458;0.000000;0.010086643402037;0.7;0.007060650381426
2024-11-01;;;;;2024-11-01;YouTube UGC;Germany;Cansever Müzik;Djansever;Romane Gilja;Ka Panda Sarenge Muja ;3616849534124;US-CGJ-21-19557;;Music release;Stream;1209;EUR;0.001730;0.000000;2.091679742990637;0.7;1.464175820093446
2024-11-01;;;;;2024-10-01;Turkcell;Turkey;Müzik Dağıtım;Yaşar Dede;En iyi Roman Havaları;Aşk İle Bakan Gözlerin ;3616845395699;TR-BYT-22-00021;;Music release;Stream;1;EUR;0.001069;0.000000;0.001069334490096;0.7;0.000748534143067
2024-11-01;;;;;2024-09-01;Facebook / Instagram;Bangladesh;Subaşı Yapım;Orheyn;Karacadag;Karacadag ;3617054328362;TC-ADY-18-12132;;Music release;Creation;48;EUR;0.000045;0.000000;0.002162573833021;0.7;0.001513801683115
2024-11-01;;;;;2024-11-01;YouTube UGC;Réunion;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes Remix 2, Slowed - Reverb;3617383759479;FR-2X4-24-60355;;Music release;Stream;4;EUR;0.007523;0.000000;0.030090096679485;0.7;0.021063067675640
2024-11-01;;;;;2024-10-01;iHeart - Thumbplay;United states;Müzik Dağıtım;Biser King;Dom Dom Yes Yes;Dom Dom Yes Yes ;3616846508005;TR-BYT-22-00038;;Music release;Stream;3;EUR;0.006785;0.000000;0.020354790885480;0.7;0.014248353619836
2024-11-01;;;;;2024-10-01;Facebook / Instagram;Germany;Cansever Müzik;Toni Storaro, Samara;Lubovta ne e igra;Lubovta ne e igra ;3617227877840;DG-A09-23-78153;;Music release;Stream;4089;EUR;0.000021;0.000000;0.084613857200000;0.7;0.059229700040000
2024-11-01;;;;;2024-11-01;Apple Music;United states;Müzik Dağıtım;Orheyn;Dubai Nights;Dubai Nights ;3617052664202;TR-CFF-22-00019;;Music release;Stream;28;EUR;0.007185;0.000000;0.201186219133680;0.7;0.140830353393576
2024-11-01;;;;;2024-11-01;YouTube UGC;Jordan;Subaşı Yapım;Orheyn;Turkish Mixtape;İntikam ;3617055752159;TC-AFT-21-89803;;Music release;Stream;50;EUR;0.000050;0.000000;0.002476804635313;0.7;0.001733763244719
2024-11-01;;;;;2024-11-01;Apple Music;Belgium;Cansever Müzik;Cansever;Cansever ce;Şeytan diyor ki Slow Version;3616849534162;US-CGJ-20-85352;;Music release;Stream;17;EUR;0.007010;0.000000;0.119168000000000;0.7;0.083417600000000
2024-11-01;;;;;2024-11-01;Turkcell;Turkey;Efeler Area;Sindikat;UDDY Proje;Etrafimiz Karanlik ;3617225112233;DE-ZC6-21-92953;;Music release;Stream;2;EUR;0.001194;0.000000;0.002388875125609;0.7;0.001672212587926
2024-11-01;;;;;2024-11-01;YouTube Official Content;Turkey;Müzik Dağıtım;Orheyn;Mafia Music;Mafia Music Slowed V1;3617661423382;DG-A08-24-53007;;Music release;Stream;18758;EUR;0.000422;0.000000;7.918596560646578;0.7;5.543017592452605
2024-11-01;;;;;2024-11-01;YouTube UGC;Belgium;Ra Müzik;Amentu, kefo;Amanoslar;Amanoslar ;3617055584767;FR-2X4-23-07690;;Music release;Stream;463;EUR;0.001645;0.000000;0.761687617471058;0.7;0.533181332229741
2024-11-01;;;;;2024-10-01;Spotify;France;Müzik Dağıtım;Esendereli Ali;Best Of Roman Havaları;Çat Çat Karisinin Bir Tanesi ;3616845697267;TR-BYT-20-00004;;Music release;Stream;201;EUR;0.002510;0.000000;0.504474000700000;0.7;0.353131800490000
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
